Crop,Provinces,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Irrigated Palay,Zamboanga del Sur,39780,48750,48720,48600,45990,41270,42590,45390,45867,47660,56771,38997,54431,71640,70063,50100,50861,49044,50554,43741,48185,51824,54758,56019,57722,54957,56325,57474,57322,56232,61721,58630.78,59642.7,50547.9,58140.02,59207.27
Irrigated Palay,Zamboanga Sibugay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23273,23184,23324,23524,22927,20865,18028,18723,15842,17335,17238,17572,17451,17615,17601,18443,19571.14,18989,19153,19415,19696
Irrigated Palay,Zamboanga City,3020,4460,5980,6110,7150,6080,6040,5420,5500,5267,4694,3748,4991,5289,5050,4676,3918,4015,4395,4275,4702,4630,4788,4265,4655,5023,4781,4762,5174,5094,4944,5391,4736.74,4786.5,0,0
Irrigated Palay,Bukidnon,34840,39300,55390,58140,59870,62100,65320,67850,66606,62466,55209,57080,65616,68389,64696,63940,59721,58016,59155,59821,63167,67501,74625,72662,76876,78891,81995,82557,84729,83833,84917,85034,85001,85985,86026,90491.32
Irrigated Palay,Camiguin,980,920,720,710,620,260,480,960,833,743,774,613,756,651,565,471,502,504,457,549,552,598,608,600,626,636,647,648,649,541,592,579,503,563,578,596.75
Irrigated Palay,Lanao del Norte,22490,19370,22310,19770,22720,18500,25700,26620,30950,33014,32905,36240,33471,37493,41859,42680,40756,36239,33429,29943,32869,32255,32200,31040,32005,32499,33025,33109,33192,33934,33997,33997,33700,34480,33858,35685
Irrigated Palay,Misamis Occidental,8200,9450,10280,8150,9120,7530,7570,12920,16488,16218,16026,15905,17842,17670,17274,14554,15282,15135,14916,14893,15044,16146,16521,16680,16815,17137,17203,18356,18566,18372,17893,18293,18265,18169,18475,18222.08
Irrigated Palay,Misamis Oriental,7100,7950,10200,8530,9400,6970,6780,6030,6120,5931,5593,5217,6280,5844,5819,5840,5486,5721,5730,5853,6088,6154,6200,6023,5948,5940,5800,5771,5614,4999,5521,5580,5573,5456,5135,5217.58
Irrigated Palay,Davao de Oro (Compostela Valley),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22289,22175,21709,21723,21488,19703,19423,20135,20617,20796,20430,20489,21983,21406,21423,20836,22714,23076,23650,25682,26042
Irrigated Palay,Davao del Norte,39570,40310,40800,56610,56780,38750,44250,51870,53600,52710,52375,49299,46948,49529,49830,29833,31578,31626,31262,29665,26308,26700,26696,26524,29099,30329,29775,28259,26250,24813,25858,26737,26624,26502,27868.6,29375
Irrigated Palay,Davao del Sur,25650,27720,29180,26440,25650,19640,23170,24260,25263,24645,24088,22019,24006,23870,23868,24899,24839,25290,25391,26450,25135,24199,24425,24492,25366,25705,25712,25872,25812,26118,26002,28043,24814,23928,27483,28325
Irrigated Palay,Davao Occidental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,315.7,384.98,419.19
Irrigated Palay,Davao Oriental,6340,7820,7380,12640,10800,7850,7240,6920,8190,8430,8839,8895,9609,9774,10056,10637,10210,10455,10705,10833,10706,10698,11102,10464,10812,10737,10391,10580,12043,12158,12147,12298,12737,12297,12372,12292
Irrigated Palay,City of Davao,3800,4570,5350,4530,4310,4180,4010,3640,3240,3210,3753,4004,4625,4970,4754,5207,5089,4231,3757,3038,1970,1955,2217,2212,2146,2338,2572,2549,2466,2551,2507,2530,2395,2490,0,0
Irrigated Palay,Cotabato (North Cotabato),55620,55350,51850,45820,51610,37640,47210,54460,57360,72400,69053,65595,88890,88427,86731,85145,83821,84128,83747,85078,87772,91128,91411,88071,90093,90148,94337,93600,91561,83517,93011,93620,93054,94531,96778,98219
Irrigated Palay,Sarangani,0,0,0,0,0,0,0,3220,5160,6589,6277,6108,7076,7246,7838,8329,9655,9255,9073,9001,9173,9487,9685,9191,9650,9733,10470,10288,10108,9659,9980,9561,9317,9935.82,9964.98,10151.74
Irrigated Palay,South Cotabato,36560,43260,41730,31160,33000,40650,48840,34660,42790,76590,80051,62817,89534,80086,71621,71340,66862,73381,67787,62905,67151,71727,69750,67360,68933,68473,70864,70868,70663,65215,75351,74086,67571.36,69478,69374,68581
